elstat_municipality_code,municipality_name,pop_total_2021,pop_total_2011,pop_men_2021,pop_men_2011,pop_women_2021,pop_women_2011
4102,ΑΡΓΟΥΣ - ΜΥΚΗΝΩΝ,40009,42022,19630,20835,20379,21187
4103,ΕΠΙΔΑΥΡΟΥ,7089,8115,3557,4099,3532,4016
4104,ΕΡΜΙΟΝΙΔΑΣ,13598,13551,6764,6891,6834,6660
2601,ΤΡΙΚΚΑΙΩΝ,78508,81355,38623,40353,39885,41002
2602,ΜΕΤΕΩΡΩΝ,19290,21991,9684,10934,9606,11057
2603,ΠΥΛΗΣ,12915,14343,6588,7208,6327,7135
2604,ΦΑΡΚΑΔΟΝΑΣ,11348,13396,5506,6657,5842,6739
0501,ΚΑΒΑΛΑΣ,65857,70501,31334,34002,34523,36499
0502,ΝΕΣΤΟΥ,20525,22331,10105,11045,10420,11286
0503,ΠΑΓΓΑΙΟΥ,29592,32085,14485,15807,15107,16278
0301,ΑΛΕΞΑΝΔΡΟΥΠΟΛΗΣ,71601,72959,34882,35775,36719,37184
0302,ΔΙΔΥΜΟΤΕΙΧΟΥ,16161,19493,8464,10140,7697,9353
0303,ΟΡΕΣΤΙΑΔΑΣ,31694,37695,16199,19554,15495,18141
0304,ΣΑΜΟΘΡΑΚΗΣ,2622,2859,1408,1616,1214,1243
0305,ΣΟΥΦΛΙΟΥ,11784,14941,6083,7620,5701,7321
5401,ΙΚΑΡΙΑΣ,8555,8423,4296,4220,4259,4203
5402,ΦΟΥΡΝΩΝ ΚΟΡΣΕΩΝ,1346,1459,630,722,716,737
2101,ΠΡΕΒΕΖΑΣ,30893,31733,15090,15748,15803,15985
2102,ΖΗΡΟΥ,13071,13892,6488,6882,6583,7010
2103,ΠΑΡΓΑΣ,10771,11866,5379,5884,5392,5982
6801,ΠΑΡΟΥ,14290,13715,7068,6846,7222,6869
6802,ΑΝΤΙΠΑΡΟΥ,1264,1211,647,619,617,592
0601,ΞΑΝΘΗΣ,66162,65133,32579,32329,33583,32804
0602,ΑΒΔΗΡΩΝ,17860,19005,8931,9347,8929,9658
0603,ΜΥΚΗΣ,14521,15540,7193,7687,7328,7853
0604,ΤΟΠΕΙΡΟΥ,9634,11544,4773,5839,4861,5705
1801,ΙΩΑΝΝΙΤΩΝ,113094,112486,54242,53975,58852,58511
1802,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,5075,5714,2608,2882,2467,2832
1803,ΔΩΔΩΝΗΣ,7258,9693,3777,4953,3481,4740
1804,ΖΑΓΟΡΙΟΥ,3384,3724,1734,1824,1650,1900
1805,ΖΙΤΣΑΣ,13630,14766,6765,7337,6865,7429
1806,ΚΟΝΙΤΣΑΣ,5325,6362,2641,3262,2684,3100
1807,ΜΕΤΣΟΒΟΥ,5429,6196,2759,3085,2670,3111
1808,ΠΩΓΩΝΙΟΥ,6859,8960,3460,4529,3399,4431
4201,ΚΟΡΙΝΘΙΩΝ,56437,58192,28141,29216,28296,28976
4202,ΒΕΛΟΥ - ΒΟΧΑΣ,17836,19027,8882,9611,8954,9416
4203,ΛΟΥΤΡΑΚΙΟΥ - ΠΕΡΑΧΩΡΑΣ - ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,21925,21221,10665,10482,11260,10739
4204,ΝΕΜΕΑΣ,5668,6483,2819,3291,2849,3192
4205,ΞΥΛΟΚΑΣΤΡΟΥ - ΕΥΡΩΣΤΙΝΗΣ,15295,17365,7390,8541,7905,8824
4206,ΣΙΚΥΩΝΙΩΝ,20983,22794,10473,11427,10510,11367
4401,ΚΑΛΑΜΑΤΑΣ,71894,69849,34660,34620,37234,35229
4402,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,5772,6945,2948,3547,2824,3398
4403,ΜΕΣΣΗΝΗΣ,19200,23482,9733,11942,9467,11540
4404,ΟΙΧΑΛΙΑΣ,8508,11228,4424,5788,4084,5440
4405,ΠΥΛΟΥ - ΝΕΣΤΟΡΟΣ,17179,21077,8882,10742,8297,10335
4406,ΤΡΙΦΥΛΙΑΣ,22367,27373,11329,13950,11038,13423
1501,ΓΡΕΒΕΝΩΝ,21440,25905,11030,13526,10410,12379
1502,ΔΕΣΚΑΤΗΣ,5205,5852,2617,2922,2588,2930
5001,ΕΛΕΥΣΙΝΑΣ,29619,29902,14441,14925,15178,14977
5002,ΑΣΠΡΟΠΥΡΓΟΥ,31420,30251,16012,15872,15408,14379
5003,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,17524,17885,8469,8785,9055,9100
5004,ΜΕΓΑΡΕΩΝ,38046,36924,20213,19488,17833,17436
5005,ΦΥΛΗΣ,48255,45965,23661,22869,24594,23096
2001,ΗΓΟΥΜΕΝΙΤΣΑΣ,25709,25814,12735,12894,12974,12920
2002,ΣΟΥΛΙΟΥ,8767,10063,4370,5017,4397,5046
2003,ΦΙΛΙΑΤΩΝ,6351,7710,3259,3968,3092,3742
4601,ΑΜΑΡΟΥΣΙΟΥ,70519,72333,32852,33738,37667,38595
4602,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,62157,59704,29007,27822,33150,31882
4603,ΒΡΙΛΗΣΣΙΩΝ,32422,30741,15380,14605,17042,16136
7101,ΗΡΑΚΛΕΙΟΥ,50495,49642,23946,23770,26549,25872
4605,ΚΗΦΙΣΙΑΣ,72860,71259,34401,33389,38459,37870
4606,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,30996,31153,14681,14897,16315,16256
4607,ΜΕΤΑΜΟΡΦΩΣΕΩΣ,30170,29891,14500,14599,15670,15292
4608,ΝΕΑΣ ΙΩΝΙΑΣ,64107,67134,30647,32505,33460,34629
4609,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ,45164,44539,20619,20278,24545,24261
4610,ΠΕΝΤΕΛΗΣ,35439,34934,16983,16868,18456,18066
