code,name
4501,ΑΘΗΝΑΙΩΝ
4502,ΒΥΡΩΝΟΣ
4503,ΓΑΛΑΤΣΙΟΥ
4504,ΔΑΦΝΗΣ - ΥΜΗΤΤΟΥ
4505,ΖΩΓΡΑΦΟΥ
4506,ΗΛΙΟΥΠΟΛΕΩΣ
4507,ΚΑΙΣΑΡΙΑΝΗΣ
4508,ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΝΕΑΣ ΧΑΛΚΗΔΟΝΟΣ
4601,ΑΜΑΡΟΥΣΙΟΥ
4602,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ
4603,ΒΡΙΛΗΣΣΙΩΝ
4604,ΗΡΑΚΛΕΙΟΥ
4605,ΚΗΦΙΣΙΑΣ
4606,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ
4607,ΜΕΤΑΜΟΡΦΩΣΕΩΣ
4608,ΝΕΑΣ ΙΩΝΙΑΣ
4609,ΠΑΠΑΓΟΥ - ΧΟΛΑΡΓΟΥ
4610,ΠΕΝΤΕΛΗΣ
4611,ΦΙΛΟΘΕΗΣ - ΨΥΧΙΚΟΥ
4612,ΧΑΛΑΝΔΡΙΟΥ
4701,ΠΕΡΙΣΤΕΡΙΟΥ
4702,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ
4703,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ
4704,ΑΙΓΑΛΕΩ
4705,ΙΛΙΟΥ
4706,ΠΕΤΡΟΥΠΟΛΕΩΣ
4707,ΧΑΪΔΑΡΙΟΥ
4801,ΚΑΛΛΙΘΕΑΣ
4802,ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ
4803,ΑΛΙΜΟΥ
4804,ΓΛΥΦΑΔΑΣ
4805,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ
4806,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ
4807,ΝΕΑΣ ΣΜΥΡΝΗΣ
4808,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ
4901,ΑΧΑΡΝΩΝ
4902,ΒΑΡΗΣ - ΒΟΥΛΑΣ - ΒΟΥΛΙΑΓΜΕΝΗΣ
4903,ΔΙΟΝΥΣΟΥ
4904,ΚΡΩΠΙΑΣ
4905,ΛΑΥΡΕΩΤΙΚΗΣ
4906,ΜΑΡΑΘΩΝΟΣ
4907,ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ
4908,ΠΑΙΑΝΙΑΣ
4909,ΠΑΛΛΗΝΗΣ
4910,ΡΑΦΗΝΑΣ - ΠΙΚΕΡΜΙΟΥ
4911,ΣΑΡΩΝΙΚΟΥ
4912,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ
4913,ΩΡΩΠΟΥ
5001,ΕΛΕΥΣΙΝΑΣ
5002,ΑΣΠΡΟΠΥΡΓΟΥ
5003,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ
5004,ΜΕΓΑΡΕΩΝ
5005,ΦΥΛΗΣ
5101,ΠΕΙΡΑΙΩΣ
5102,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ
5103,ΚΟΡΥΔΑΛΛΟΥ
5104,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ
5105,ΠΕΡΑΜΑΤΟΣ
5201,ΣΑΛΑΜΙΝΟΣ
5202,ΑΓΚΙΣΤΡΙΟΥ
5203,ΑΙΓΙΝΑΣ
5204,ΚΥΘΗΡΩΝ
5205,ΠΟΡΟΥ
5206,ΣΠΕΤΣΩΝ
5207,ΤΡΟΙΖΗΝΙΑΣ - ΜΕΘΑΝΩΝ
5208,ΥΔΡΑΣ
5301,ΜΥΤΙΛΗΝΗΣ
5302,ΔΥΤΙΚΗΣ ΛΕΣΒΟΥ
5401,ΙΚΑΡΙΑΣ
